year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,25,5.09,2.62,,10.52,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.031,1.07
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,26,5.06,2.81,,10.92,,0,,0,,,,,,,,0,,,,,,,,,,,0.046,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,27,4.32,2.67,,9.28,,1,,0,,,,,,,,0,,,,,,,,,,,0.023,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,28,4.83,2.83,,8.81,,0,,0,,,,,,,,0,,,,,,,,,,,0.03,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,29,4.99,3.28,,10.33,,1,,0,,,,,,,,0,,,,,,,,,,,0.051,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,30,6,3.4,,8.52,,1,,0,,,,,,,,0,,,,,,,,,,,0.078,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,31,4.01,2.78,,10.3,,0,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.021,1.01
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,32,4.82,3.16,,10.28,,1,,0,,,,,,,,0,,,,,,,,,,,0.06,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,33,5.41,3.42,,11.88,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.059,1.16
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,34,4.62,3.27,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.044,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,35,5.47,3.44,,8.96,,1,,0,,,,,,,,0,,,,,,,,,,,0.062,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,36,5.15,3.13,,11.97,,1,,0,,,,,,,,0,,,,,,,,,,,0.046,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,37,3.54,2.63,,6.95,,1,,0,,,,,,,,0,,,,,,,,,,,0.027,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,38,4.92,3.23,,8.4,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.054,0.95
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,39,4.22,2.84,,6.73,,1,,0,,,,,,,,0,,,,,,,,,,,0.034,NA
